cid;selite
163;E28 Pyöräkatu
164;E29 Pyöräkatu päättyy
165;E30 Ajokaistojen yhdistyminen
166;F1.1 Suunnistustaulu
167;F1.2 Suunnistustaulu
168;F1.3 Suunnistustaulu
169;F2.1 Suunnistustaulu
170;F2.2 Suunnistustaulu
171;F2.3 Suunnistustaulu
172;F3 Ajokaistakohtainen suunnistustaulu
173;F4.1 Kiertotien suunnistustaulu
174;F4.2 Kiertotien suunnistustaulu
175;F5 Kiertotieopastus
176;F6 Ajoreittiopastus
177;F7.1 Ajokaistaopastus
178;F7.2 Ajokaistaopastus
179;F7.3 Ajokaistaopastus
180;F7.4 Ajokaistaopastus
181;F7.5 Ajokaistaopastus
182;F7.6 Ajokaistaopastus
183;F8.1 Ajokaistan päättyminen
184;F8.2 Ajokaistan päättyminen
185;F9 Viitoituksen koontimerkki
186;F10 Ajokaistan yläpuolinen viitta
187;F11 Ajokaistan yläpuolinen viitta
188;F12 Ajokaistan yläpuolinen erkanemisviitta
189;F13 Tienviitta
190;F14 Erkanemisviitta
191;F15 Kiertotien viitta
192;F16 Osoiteviitta
193;F17 Osoiteviitan ennakkomerkki
194;F18 Liityntäpysäköintiviitta
195;F19 Jalankulun viitta
196;F20.1 Pyöräilyn viitta
197;F20.2 Pyöräilyn viitta
198;F21.1 Pyöräilyn suunnistustaulu
199;F21.2 Pyöräilyn suunnistustaulu
200;F22 Pyöräilyn etäisyystaulu
201;F23 Pyöräilyn paikannimi
202;F24.1 Umpitie
203;F24.2 Umpitie
204;F25 Enimmäisnopeussuositus
205;F26 Etäisyystaulu
206;F27.1 Paikannimi
207;F27.2 Paikannimi
208;F28 Kansainvälisen pääliikenneväylän numero
209;F29 Valtatien numero
210;F30 Kantatien numero
211;F30 Kantatien numero
212;F31 Seututien numero
213;F31 Seututien numero
214;F32 Muun maantien numero
215;F33 Kehätien numero
216;F33 Kehätien numero
217;F34 Eritasoliittymän numero
218;F34 Eritasoliittymän numero
219;F35 Opastus merkin tarkoittamalle tielle
220;F35 Opastus merkin tarkoittamalle tielle
221;F37 Moottoritien tunnus
222;F38 Moottoriliikennetien tunnus
223;F39 Lentoasema
224;F40 Autolautta
225;F41 Matkustajasatama
226;F42 Tavarasatama
227;F43 Tavaraterminaali
228;F44 Teollisuusalue tai yritysalue
229;F45 Vähittäiskaupan suuryksikkö
230;F46.1 Pysäköinti
231;F46.2 Pysäköinti
232;F47 Rautatieasema
