id;selite
258;Liriodendron tulipifera
259;Loiseleuria procumbens
260;Lonicera ×bella
261;Lonicera ×brownii
262;Lonicera ×notha
263;Lonicera ×xylosteoides
264;Lonicera albertii
265;Lonicera alpigena
266;Lonicera caerulea
267;Lonicera caprifolium
268;Lonicera caucasica
269;Lonicera chrysantha
270;Lonicera involucrata
271;Lonicera maackii
272;Lonicera nigra
273;Lonicera periclymenum
274;Lonicera sp
275;Lonicera tatarica
276;Lonicera xylosteum
277;Maackia amurensis
278;Magnolia acuminata
279;Magnolia kobus
280;Magnolia sieboldii
281;Magnolia sp
282;Mahonia aquifolium
283;Malus baccata
284;Malus domestica
285;Malus prunifolia
286;Malus sp
287;Malus sylvestris
288;Malus toringo
289;Malus toringo var. sargentii
290;Menispermum canadense
291;Menispermum dauricum
292;Metasequoia glyptostroboides
293;Microbiota decussata
294;Myrica gale
295;Myricaria germanica
296;Oplopanax horridus
297;Ostrya carpinifolia
298;Pachysandra terminalis
299;Parthenocissus inserta
300;Parthenocissus quinquefolia
301;Paxistima myrtifolia
302;Phellodendron amurense
303;Philadelphus ×lemoinei
304;Philadelphus ×virginalis
305;Philadelphus coronarius
306;Philadelphus lewisii
307;Philadelphus lewisii var. gordonianus
308;Philadelphus pubescens
309;Philadelphus sp
310;Phyllodoce caerulea
311;Physocarpus opulifolius
312;Picea ×lutzii
313;Picea abies
314;Picea abies f. aurea
315;Picea abies f. condensata
316;Picea abies f. cruenta
317;Picea abies f. globosa
318;Picea abies f. nana
319;Picea abies f. nidiformis
320;Picea abies f. pendula
321;Picea abies f. tabulaeformis
322;Picea abies f. variegata
323;Picea abies f. viminalis
324;Picea abies f. virgata
325;Picea abies subsp. abies
326;Picea abies subsp. obovata
327;Picea asperata
328;Picea engelmannii
329;Picea glauca
330;Picea glauca var. albertiana
331;Picea glehnii
332;Picea jezoënsis
333;Picea koraiensis
334;Picea likiangensis
335;Picea mariana
336;Picea omorika
337;Picea pungens
338;Picea retroflexa
339;Picea rubens
340;Picea schrenkiana
341;Picea sitchensis
342;Picea sp
343;Pieris floribunda
344;Pinus banksiana 
345;Pinus cembra
346;Pinus cembra subsp. cembra
347;Pinus cembra subsp. sibirica
348;Pinus contorta
349;Pinus contorta var. contorta
350;Pinus contorta var. latifolia
351;Pinus koraiensis
352;Pinus monticola
353;Pinus mugo
354;Pinus mugo subsp. uncinata
355;Pinus nigra
356;Pinus peuce
357;Pinus ponderosa
358;Pinus pumila
359;Pinus resinosa
360;Pinus sp
361;Pinus strobus
362;Pinus sylvestris
363;Pinus sylvestris f. aurea
364;Pinus sylvestris f. condensata
365;Pinus sylvestris f. globosa
366;Pinus sylvestris f. virgata
367;Pinus sylvestris 'Globosa'
368;Populus ×canadensis
369;Populus ×jackii 'Gileadensis'
370;Populus ×wettsteinii
371;Populus alba
372;Populus balsamifera
373;Populus balsamifera 'Tristis'
374;Populus canescens
375;Populus deltoides
376;Populus koreana
377;Populus laurifolia
378;Populus nigra
379;Populus 'Rasumowskiana'
380;Populus simonii
381;Populus sp
382;Populus suaveolens
383;Populus tremula
384;Populus tremuloides
385;Populus trichocarpa
386;Populus wilsonii
387;Potentilla fruticosa
388;Prunus avium
389;Prunus cerasifera
390;Prunus cerasus
391;Prunus domestica
392;Prunus domestica subsp. domestica
393;Prunus domestica subsp. insititia
394;Prunus laurocerasus
395;Prunus maackii
396;Prunus maximowiczii
397;Prunus padus
398;Prunus pensylvanica
399;Prunus prostrata
400;Prunus pumila
401;Prunus sargentii
402;Prunus serotina
403;Prunus sp
404;Prunus spinosa
405;Prunus tenella
406;Prunus tomentosa
407;Prunus triloba
408;Prunus virginiana
409;Pseudolarix amabilis
410;Pseudotsuga menziesii
411;Pseudotsuga menziesii var. glauca
412;Pterocarya pterocarpa
413;Pterocarya rhoifolia
414;Pyrus communis
415;Pyrus ussuriensis
416;Quercus coccinea
417;Quercus petraea
418;Quercus robur
419;Quercus rubra
420;Rhamnus cathartica
421;Rhamnus frangula
422;Rhododendron ×fraseri
423;Rhododendron aureum
424;Rhododendron brachycarpum
425;Rhododendron brachycarpum subsp. tigerstedtii
426;Rhododendron canadense
427;Rhododendron Catawbiense -ryhmä/gruppen/group
428;Rhododendron 'Cunningham's White'
429;Rhododendron dauricum
430;Rhododendron ferrugineum
431;Rhododendron Kosterianum -ryhmä/gruppen/group
432;Rhododendron lapponicum
433;Rhododendron luteum
434;Rhododendron molle
435;Rhododendron molle subsp. japonicum
436;Rhododendron schlippenbachii
437;Rhododendron smirnowii
438;Rhododendron sp
439;Rhododendron Tigerstedtii -ryhmä/gruppen/group
440;Rhus hirta
441;Ribes alpinum
442;Ribes nigrum
443;Ribes rubrum
444;Ribes spicatum
445;Ribes uva-crispa
446;Robinia pseudoacacia
447;Rosa acicularis
448;Rosa canina
449;Rosa dumalis
450;Rosa majalis
451;Rosa mollis
452;Rosa pimpinellifolia
453;Rosa rugosa
454;Rosa sherardii
455;Rosa sp
456;Rubus caesius
457;Rubus idaeus
458;Rubus odoratus
459;Rubus parviflorus
460;Rubus pruinosus
461;Rubus sp
462;Salix alba
463;Salix arbutifolia
464;Salix aurita
465;Salix borealis
466;Salix caprea
467;Salix cinerea
468;Salix daphnoides
469;Salix daphnoides subsp. acutifolia
470;Salix daphnoides subsp. daphnoides
471;Salix fragilis
472;Salix fragilis 'Bullata'
473;Salix glauca
474;Salix hastata
475;Salix herbacea
476;Salix lanata
477;Salix lapponum
478;Salix lucida
479;Salix myrsinifolia
480;Salix myrsinites
481;Salix myrtilloides
482;Salix pentandra
483;Salix phylicifolia
484;Salix polaris
485;Salix purpurea
486;Salix pyrolifolia
487;Salix repens
488;Salix reticulata
489;Salix rosmarinifolia
490;Salix 'Sibirica'
491;Salix sp
492;Salix starkeana
493;Salix triandra
494;Salix viminalis
495;Sambucus canadensis
496;Sambucus nigra
497;Sambucus racemosa
