id;selite
1;erityisalue
2;koirapuisto
3;leikkipaikka
4;liikenneviheralue
5;liikuntapaikka
6;lumenvastaanottopaikka
7;puisto
8;siirtolapuutarha
9;suojelualue
10;talousmetsa
11;ulkoilu- ja retkeilyalue
12;muu
13;ei tiedossa
